MAC_addr,label,avg_win,avg_mss,avg_sen,ip_cnt,df_cnt,icmp_cnt,tcp_cnt,udp_cnt,http_cnt,dhcp_cnt,dns_cnt,ntp_cnt
40:f3:08:ff:1e:da,24,28358.8,1460,0.72096,1720,1720,0,1575,122,125,0,69,1
b4:ce:f6:a7:a3:c2,24,29510,1460,0.765024,1482,1468,0,1383,96,272,14,76,1
b4:ce:f6:a7:a3:c2,24,26710.6,1460,0.736664,2097,2076,21,1945,130,221,0,117,3
b4:ce:f6:a7:a3:c2,24,24792.3,1460,0.763099,639,624,15,563,61,28,0,51,2
b4:ce:f6:a7:a3:c2,24,33028.5,1460,0.778451,4720,4701,9,4502,207,348,10,96,1
b4:ce:f6:a7:a3:c2,24,31505.2,1460,0.8118,793,793,0,752,37,25,0,23,2
b4:ce:f6:a7:a3:c2,24,27674.2,1460,0.75727,1951,1944,3,1829,117,86,6,88,2
b4:ce:f6:a7:a3:c2,24,26168.2,1460,0.801006,12069,12052,11,10848,1198,298,6,225,6
b4:ce:f6:a7:a3:c2,24,13697.8,1460,0.758944,37,27,0,21,16,4,10,4,1
b4:ce:f6:a7:a3:c2,24,27784.8,1460,0.757565,2421,2406,14,2237,161,212,3,126,7
b4:ce:f6:a7:a3:c2,24,27863.1,1460,0.777438,1496,1489,2,1386,102,83,5,69,2
b4:ce:f6:a7:a3:c2,24,34406.5,1460,0.767578,2417,2417,0,2263,146,535,0,137,2
b4:ce:f6:a7:a3:c2,24,24492.8,1460,0.79214,246,241,0,225,20,8,5,13,1
b4:ce:f6:a7:a3:c2,24,29557.7,1460,0.81409,1465,1454,2,1381,81,18,9,68,1
b4:ce:f6:a7:a3:c2,24,19179.7,1460,0.778319,4912,4895,8,2827,2071,99,10,125,2
b4:ce:f6:a7:a3:c2,24,29188.2,1460,0.806918,2338,2327,8,2244,83,149,3,78,1
00:24:e4:10:ee:4c,23,27137.7,1460,0.707755,1170,1150,4,889,277,551,24,98,1
00:24:e4:1b:6f:96,22,22145.9,1400,0.444272,72,0,0,68,4,68,3,1,1
00:24:e4:1b:6f:96,22,51580.3,0,0.639286,4,0,0,4,0,4,0,1,1
00:24:e4:1b:6f:96,22,22740.3,1400,0.448391,75,0,0,71,4,71,3,1,1
00:24:e4:1b:6f:96,22,25014.2,1400,0.448416,78,0,0,72,6,72,5,1,1
00:24:e4:1b:6f:96,22,25602.8,1400,0.448215,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,25907.5,1400,0.447892,76,0,0,72,4,72,3,1,1
00:24:e4:1b:6f:96,22,25602.8,1400,0.447512,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,25806.7,1400,0.447375,76,0,0,71,5,71,4,1,1
00:24:e4:1b:6f:96,22,25355.6,1400,0.44828,76,0,0,71,5,71,4,1,1
00:24:e4:1b:6f:96,22,26663,1400,0.447465,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,35718.3,1400,0.428421,52,0,0,48,4,48,3,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447988,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.446344,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447812,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447578,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447936,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.446021,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447106,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26663,1400,0.447208,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,25912.3,1400,0.447097,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26663,1400,0.446117,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26266.8,1400,0.445837,75,0,0,71,4,71,3,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.44757,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.448072,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447558,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,39452.3,1400,0.448483,73,0,0,68,5,68,4,1,1
00:24:e4:1b:6f:96,22,37221.7,1400,0.43622,58,0,0,54,4,54,3,1,1
00:24:e4:1b:6f:96,22,0,0,0,1,0,0,0,1,0,1,1,1
00:24:e4:1b:6f:96,22,27855.7,1400,0.44831,76,0,0,72,4,72,3,1,1
00:24:e4:1b:6f:96,22,26121,1400,0.449971,78,0,0,73,5,73,4,1,1
00:24:e4:1b:6f:96,22,25912.3,1400,0.448105,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.448196,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.445876,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447654,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.447141,77,0,0,72,5,72,4,1,1
00:24:e4:1b:6f:96,22,42776.3,1400,0.458332,102,0,0,97,5,97,4,1,1
00:24:e4:1b:6f:96,22,26217.2,1400,0.44818,77,0,0,72,5,72,4,1,1
d0:a6:37:df:a1:e1,24,13646.3,1460,0.694364,244,196,0,196,48,8,5,14,1
d0:a6:37:df:a1:e1,24,10130.7,1460,0.736535,386,239,10,237,124,16,5,91,3
d0:a6:37:df:a1:e1,24,6026.12,1460,0.674155,107,45,2,41,60,7,3,32,1
d0:a6:37:df:a1:e1,24,10444,1460,0.718692,207,147,6,144,54,26,0,51,3
d0:73:d5:01:83:08,9,21553.1,0,0.744442,196,73,0,123,73,0,0,24,12
d0:73:d5:01:83:08,9,20417.4,0,0.745152,172,67,0,105,67,0,0,24,12
d0:73:d5:01:83:08,9,20780.1,0,0.744722,205,81,0,124,81,0,1,28,14
d0:73:d5:01:83:08,9,21144.9,0,0.746111,186,69,0,117,69,0,0,24,12
d0:73:d5:01:83:08,9,21530.1,0,0.743504,193,72,0,121,72,0,0,24,12
d0:73:d5:01:83:08,9,20419.8,0,0.743888,179,70,0,109,70,0,0,26,13
d0:73:d5:01:83:08,9,20790.2,0,0.745085,199,79,0,120,79,0,0,28,14
d0:73:d5:01:83:08,9,20914.1,0,0.744595,182,69,0,113,69,0,1,24,12
d0:73:d5:01:83:08,9,21242.3,0,0.745946,191,73,0,118,73,0,0,26,13
d0:73:d5:01:83:08,9,21284.2,0,0.741918,184,69,0,115,69,0,0,24,12
d0:73:d5:01:83:08,9,20326.5,0,0.744397,196,80,0,116,80,0,1,28,14
d0:73:d5:01:83:08,9,20843.4,0,0.742616,176,67,0,109,67,0,0,24,12
d0:73:d5:01:83:08,9,22063.9,0,0.74419,194,70,0,124,70,0,0,24,12
d0:73:d5:01:83:08,9,22534.2,0,0.742325,206,73,0,133,73,0,0,26,13
d0:73:d5:01:83:08,9,21962.4,0,0.742675,97,36,0,61,36,0,0,12,6
d0:73:d5:01:83:08,9,21356.5,0,0.74417,181,67,0,114,67,0,0,24,12
d0:73:d5:01:83:08,9,21242.3,0,0.745819,191,73,0,118,73,0,1,24,12
d0:73:d5:01:83:08,9,20482.2,0,0.74432,178,70,0,108,70,0,0,26,13
d0:73:d5:01:83:08,9,21352.1,0,0.744921,193,73,0,120,73,0,0,24,12
d0:73:d5:01:83:08,9,20848,0,0.744015,187,73,0,114,73,0,0,28,14
d0:73:d5:01:83:08,9,21483.2,0,0.743557,200,76,0,124,76,0,0,26,13
d0:73:d5:01:83:08,9,21270,0,0.7437,181,67,0,114,67,0,0,24,12
d0:73:d5:01:83:08,9,21144.9,0,0.745313,190,73,0,117,73,0,1,24,12
d0:73:d5:01:83:08,9,21228.1,0,0.744791,189,72,0,117,72,0,0,26,13
d0:73:d5:01:83:08,9,20996.3,0,0.745628,194,76,0,118,76,0,0,26,13
d0:73:d5:01:83:08,9,21199.1,0,0.743311,185,70,0,115,70,0,0,26,13
d0:73:d5:01:83:08,9,21042.6,0,0.746495,200,79,0,121,79,0,0,28,14
d0:73:d5:01:83:08,9,20825,0,0.742301,174,66,0,108,66,0,0,24,12
d0:73:d5:01:83:08,9,20848,0,0.745101,187,73,0,114,73,0,1,26,13
d0:73:d5:01:83:08,9,21518.3,0,0.74509,193,73,0,120,73,0,0,24,12
d0:73:d5:01:83:08,9,21153.8,0,0.744507,179,67,0,112,67,0,0,24,12
d0:73:d5:01:83:08,9,20773.2,0,0.743611,198,79,0,119,79,0,0,28,14
d0:73:d5:01:83:08,9,21741.7,0,0.741612,183,66,0,117,66,0,0,24,12
d0:73:d5:01:83:08,9,22112.8,1460,0.742835,227,86,0,141,86,0,1,28,13
d0:73:d5:01:83:08,9,20587.2,0,0.743324,179,70,0,109,70,0,0,26,13
d0:73:d5:01:83:08,9,20996.3,0,0.7465,192,74,0,118,74,0,1,24,12
d0:73:d5:01:83:08,9,20315,0,0.745411,178,70,0,108,70,0,0,26,13
d0:73:d5:01:83:08,9,20835.4,0,0.743507,194,76,0,118,76,0,0,26,13
d0:73:d5:01:83:08,9,20566.9,0,0.745525,177,69,0,108,69,0,0,26,13
d0:73:d5:01:83:08,9,21270,0,0.742495,181,67,0,114,67,0,0,24,12
d0:73:d5:01:83:08,9,20915.5,0,0.744924,194,76,0,118,76,0,1,26,13
d0:73:d5:01:83:08,9,21169.1,0,0.742334,181,68,0,113,68,0,0,24,12
d0:73:d5:01:83:08,9,21213.7,0,0.743854,187,71,0,116,71,0,0,24,12
d0:73:d5:01:83:08,9,20461.7,0,0.742628,185,74,0,111,74,0,0,28,14
d0:73:d5:01:83:08,9,21051.2,0,0.742247,178,67,0,111,67,0,0,24,12
d0:73:d5:01:83:08,9,21575.4,0,0.743701,201,76,0,125,76,0,0,26,13
d0:73:d5:01:83:08,9,20964.9,0,0.744608,179,68,0,111,68,0,1,24,12
d0:73:d5:01:83:08,9,21042.6,0,0.74452,199,78,0,121,78,0,0,28,14
d0:73:d5:01:83:08,9,21494.2,0,0.742108,186,68,0,118,68,0,1,24,12
d0:73:d5:01:83:08,9,21748,0,0.744665,202,76,0,126,76,0,0,26,13
d0:73:d5:01:83:08,9,20947.7,0,0.745203,177,67,0,110,67,0,0,24,12
d0:73:d5:01:83:08,9,21820.5,0,0.743345,198,73,0,125,73,0,0,24,12
d0:73:d5:01:83:08,9,21434.9,0,0.741465,192,72,0,120,72,0,0,28,14
d0:73:d5:01:83:08,9,21757.6,0,0.746056,203,76,0,127,76,0,0,26,13
d0:73:d5:01:83:08,9,20783.4,0,0.742054,189,74,0,115,74,0,1,28,14
d0:73:d5:01:83:08,9,21062.3,0,0.744841,190,73,0,117,73,0,0,24,12
d0:73:d5:01:83:08,9,21555.9,0,0.742208,183,67,0,116,67,0,0,24,12
d0:73:d5:01:83:08,9,21030.9,0,0.745505,187,72,0,115,72,0,0,24,12
d0:73:d5:01:83:08,9,21752.1,0,0.742191,185,67,0,118,67,0,0,24,12
d0:73:d5:01:83:08,9,21459.4,0,0.743967,196,74,0,122,74,0,1,24,12
d0:73:d5:01:83:08,9,20794.5,0,0.743157,181,70,0,111,70,0,0,26,13
d0:73:d5:01:83:08,9,21597,0,0.74543,205,78,0,127,78,0,0,26,13
d0:73:d5:01:83:08,9,20502.4,0,0.74518,189,76,0,113,76,0,0,30,15
d0:73:d5:01:83:08,9,20694.8,0,0.746783,199,80,0,119,80,0,1,28,14
d0:73:d5:01:83:08,9,20138,0,0.743864,173,69,0,104,69,0,0,26,13
d0:73:d5:01:83:08,9,21077.6,0,0.743635,193,75,0,118,75,0,0,24,12
d0:73:d5:01:83:08,9,20162.2,0,0.745259,175,70,0,105,70,0,0,26,13
d0:73:d5:01:83:08,9,20199,0,0.744145,170,67,0,103,67,0,0,24,12
d0:73:d5:01:83:08,9,21995.1,0,0.74362,199,73,0,126,73,0,0,24,12
d0:73:d5:01:83:08,9,21174.2,0,0.744824,193,74,0,119,74,0,1,24,12
d0:73:d5:01:83:08,9,20376.4,0,0.743978,177,70,0,107,70,0,0,26,13
d0:73:d5:01:83:08,9,20843.4,0,0.743893,176,67,0,109,67,0,1,24,12
d0:73:d5:01:83:08,9,21159.6,0,0.745334,192,74,0,118,74,0,1,24,12
d0:73:d5:01:83:08,9,20964.9,0,0.745681,179,68,0,111,68,0,0,24,12
d0:73:d5:01:83:08,9,20683.8,0,0.745336,189,75,0,114,75,0,0,26,13
d0:73:d5:01:83:08,9,20710.3,0,0.745171,182,71,0,111,71,0,0,26,13
d0:73:d5:01:83:08,9,20383.8,0,0.748168,195,80,0,115,80,0,0,28,13
d0:73:d5:01:83:08,9,21255.5,0,0.741952,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,20947.7,0,0.744625,188,73,0,115,73,0,1,24,12
d0:73:d5:01:83:08,9,21585.3,1460,0.742126,201,76,0,125,76,0,0,26,12
d0:73:d5:01:83:08,9,21377.8,0,0.743811,198,76,0,122,76,0,0,26,13
d0:73:d5:01:83:08,9,21481.9,0,0.745166,186,69,0,117,69,0,0,24,12
d0:73:d5:01:83:08,9,21092.8,0,0.745173,195,76,0,119,76,0,0,26,13
d0:73:d5:01:83:08,9,21270,0,0.7432,182,68,0,114,68,0,1,24,12
d0:73:d5:01:83:08,9,22176.2,0,0.742361,201,73,0,128,73,0,0,24,12
d0:73:d5:01:83:08,9,21543.8,0,0.744434,181,66,0,115,66,0,0,24,12
d0:73:d5:01:83:08,9,21339,0,0.745944,192,73,0,119,73,0,0,24,12
d0:73:d5:01:83:08,9,20277.4,0,0.745589,185,75,0,110,75,0,0,26,13
d0:73:d5:01:83:08,9,20299.3,0,0.741328,187,76,0,111,76,0,0,30,15
d0:73:d5:01:83:08,9,20139.5,0,0.746753,188,77,0,111,77,0,1,26,13
d0:73:d5:01:83:08,9,21153.8,0,0.742924,179,67,0,112,67,0,0,24,12
d0:73:d5:01:83:08,9,20522.2,0,0.742819,191,77,0,114,77,0,0,28,13
d0:73:d5:01:83:08,9,21051.2,0,0.743788,178,67,0,111,67,0,0,24,12
d0:73:d5:01:83:08,9,20658.8,0,0.745224,196,79,0,117,79,0,0,28,14
d0:73:d5:01:83:08,9,20747.4,0,0.746607,186,73,0,113,73,0,0,24,12
d0:73:d5:01:83:08,9,20964.9,0,0.743986,179,68,0,111,68,0,1,24,12
d0:73:d5:01:83:08,9,20996.3,0,0.745478,194,76,0,118,76,0,0,26,13
d0:73:d5:01:83:08,9,21240.8,0,0.74,178,66,0,112,66,0,0,24,12
d0:73:d5:01:83:08,9,21255.5,0,0.745202,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,21242.3,0,0.745527,191,73,0,118,73,0,0,24,12
d0:73:d5:01:83:08,9,21067.4,0,0.743821,180,68,0,112,68,0,1,24,12
d0:73:d5:01:83:08,9,21422.3,0,0.743947,191,72,0,119,72,0,0,24,12
d0:73:d5:01:83:08,9,20269.8,0,0.744403,176,70,0,106,70,0,0,26,13
d0:73:d5:01:83:08,9,20947.7,0,0.744339,188,73,0,115,73,0,0,24,12
d0:73:d5:01:83:08,9,20646.1,0,0.743755,185,73,0,112,73,0,0,28,14
d0:73:d5:01:83:08,9,20980.3,0,0.744356,192,75,0,117,75,0,0,26,13
d0:73:d5:01:83:08,9,20398.3,0,0.744403,179,71,0,108,71,0,1,26,13
d0:73:d5:01:83:08,9,20440.9,0,0.745958,183,73,0,110,73,0,0,24,12
d0:73:d5:01:83:08,9,20947.7,0,0.743035,177,67,0,110,67,0,0,24,12
d0:73:d5:01:83:08,9,20848,0,0.746418,187,73,0,114,73,0,0,24,12
d0:73:d5:01:83:08,9,20162.2,0,0.745641,175,70,0,105,70,0,0,26,13
d0:73:d5:01:83:08,9,21174.2,0,0.744357,194,75,0,119,75,0,0,26,13
d0:73:d5:01:83:08,9,20747.4,0,0.741401,186,73,0,113,73,0,0,28,14
d0:73:d5:01:83:08,9,21202.6,0,0.746325,198,77,0,121,77,0,1,26,13
d0:73:d5:01:83:08,9,20337.1,0,0.742351,182,73,0,109,73,0,0,28,14
d0:73:d5:01:83:08,9,20702.2,0,0.744622,191,76,0,115,76,0,0,26,13
d0:73:d5:01:83:08,9,21443.6,0,0.743881,180,66,0,114,66,0,0,24,12
d0:73:d5:01:83:08,9,20712.4,0,0.746422,202,82,0,120,82,0,0,30,15
d0:73:d5:01:83:08,9,20646.1,0,0.742778,185,73,0,112,73,0,0,28,14
d0:73:d5:01:83:08,9,21067.4,0,0.743607,180,68,0,112,68,0,1,24,12
d0:73:d5:01:83:08,9,21122.3,0,0.746213,199,78,0,121,78,0,0,26,13
d0:73:d5:01:83:08,9,20794.5,0,0.744672,181,70,0,111,70,0,0,26,13
d0:73:d5:01:83:08,9,21046.7,0,0.743714,189,73,0,116,73,0,0,24,12
d0:73:d5:01:83:08,9,20930.3,0,0.745775,175,66,0,109,66,0,0,24,12
d0:73:d5:01:83:08,9,21296.9,0,0.744887,199,77,0,122,77,0,1,26,13
d0:73:d5:01:83:08,9,20729,0,0.745674,184,72,0,112,72,0,0,26,13
d0:73:d5:01:83:08,9,20812.6,1460,0.74575,233,92,0,141,92,0,2,28,12
d0:73:d5:01:83:08,9,20440.9,0,0.743999,183,73,0,110,73,0,0,28,14
d0:73:d5:01:83:08,9,20729.7,0,0.744626,204,83,0,121,83,0,0,28,14
d0:73:d5:01:83:08,9,20812.6,0,0.745324,183,71,0,112,71,0,0,26,13
d0:73:d5:01:83:08,9,21240.8,0,0.744367,178,66,0,112,66,0,0,24,12
d0:73:d5:01:83:08,9,19854.8,0,0.747008,188,79,0,109,79,0,0,28,14
d0:73:d5:01:83:08,9,20710.3,0,0.742405,182,71,0,111,71,0,1,26,13
d0:73:d5:01:83:08,9,20899,0,0.745282,193,76,0,117,76,0,0,26,13
d0:73:d5:01:83:08,9,20162.2,0,0.743707,175,70,0,105,70,0,0,26,13
d0:73:d5:01:83:08,9,21051.2,0,0.744604,178,67,0,111,67,0,0,24,12
d0:73:d5:01:83:08,9,20980.3,0,0.745049,192,75,0,117,75,0,0,26,13
d0:73:d5:01:83:08,9,21153.8,0,0.742505,179,67,0,112,67,0,0,24,12
d0:73:d5:01:83:08,9,20980.3,0,0.746695,192,75,0,117,75,0,0,24,12
d0:73:d5:01:83:08,9,20652.2,0,0.744453,176,68,0,108,68,0,1,24,12
d0:73:d5:01:83:08,9,21159.6,0,0.745031,191,73,0,118,73,0,0,24,12
d0:73:d5:01:83:08,9,21984.7,1460,0.743691,253,100,0,153,100,0,0,34,15
d0:73:d5:01:83:08,9,19933.6,0,0.745294,187,78,0,109,78,0,0,28,14
d0:73:d5:01:83:08,9,20947.7,0,0.741331,177,67,0,110,67,0,0,24,12
d0:73:d5:01:83:08,9,21506.3,0,0.742071,205,79,0,126,79,0,0,28,14
d0:73:d5:01:83:08,9,20998.4,0,0.744009,183,70,0,113,70,0,1,24,12
d0:73:d5:01:83:08,9,20794.5,0,0.743427,181,70,0,111,70,0,0,26,13
d0:73:d5:01:83:08,9,21767.1,0,0.741959,206,78,0,128,78,0,0,28,14
d0:73:d5:01:83:08,9,21858.5,0,0.742459,188,68,0,120,68,0,0,24,12
d0:73:d5:01:83:08,9,21434.9,0,0.744738,193,73,0,120,73,0,0,24,12
d0:73:d5:01:83:08,9,21067.4,0,0.741848,180,68,0,112,68,0,1,24,12
d0:73:d5:01:83:08,9,21107.6,0,0.746135,196,76,0,120,76,0,0,26,13
d0:73:d5:01:83:08,9,21138.2,0,0.743065,177,66,0,111,66,0,0,24,12
d0:73:d5:01:83:08,9,21434.9,0,0.743773,193,73,0,120,73,0,0,24,12
d0:73:d5:01:83:08,9,21083.4,0,0.743754,182,69,0,113,69,0,0,26,13
d0:73:d5:01:83:08,9,20899,0,0.745018,193,76,0,117,76,0,0,26,13
d0:73:d5:01:83:08,9,21114.6,0,0.742511,186,71,0,115,71,0,1,26,13
d0:73:d5:01:83:08,9,21635.3,0,0.746105,196,73,0,123,73,0,0,24,12
d0:73:d5:01:83:08,9,20587.2,0,0.744322,179,70,0,109,70,0,0,26,13
d0:73:d5:01:83:08,9,21046.7,0,0.746199,189,73,0,116,73,0,0,24,12
d0:73:d5:01:83:08,9,20543.9,0,0.742768,184,73,0,111,73,0,0,28,14
d0:73:d5:01:83:08,9,21718.2,0,0.742444,196,73,0,123,73,0,0,24,12
d0:73:d5:01:83:08,9,20738.2,0,0.743669,175,67,0,108,67,0,1,24,12
d0:73:d5:01:83:08,9,20980.3,0,0.744558,192,75,0,117,75,0,0,26,12
d0:73:d5:01:83:08,9,21051.2,0,0.743417,178,67,0,111,67,0,0,24,12
d0:73:d5:01:83:08,9,20899,0,0.744481,193,76,0,117,76,0,0,26,13
d0:73:d5:01:83:08,9,21169.1,0,0.743649,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,20747.4,0,0.746153,186,73,0,113,73,0,0,24,12
d0:73:d5:01:83:08,9,21153.8,0,0.742777,179,67,0,112,67,0,1,24,12
d0:73:d5:01:83:08,9,21169.1,0,0.742566,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,21583.7,1460,0.755093,317,131,0,186,131,0,2,26,12
d0:73:d5:01:83:08,9,21153.8,0,0.743487,179,67,0,112,67,0,0,24,12
d0:73:d5:01:83:08,9,20899,0,0.744132,193,76,0,117,76,0,0,26,13
d0:73:d5:01:83:08,9,20628.5,0,0.749348,249,108,0,141,108,0,0,30,15
d0:73:d5:01:83:08,9,22051.4,1460,0.748715,307,129,0,178,129,0,0,32,14
d0:73:d5:01:83:08,9,21266.1,1460,0.748975,245,102,0,143,102,0,0,30,14
d0:73:d5:01:83:08,9,20861.5,0,0.743073,178,68,0,110,68,0,1,24,12
d0:73:d5:01:83:08,9,21377.8,0,0.743669,198,76,0,122,76,0,0,26,13
d0:73:d5:01:83:08,9,20543.9,0,0.744003,184,73,0,111,73,0,0,28,14
d0:73:d5:01:83:08,9,21718.2,0,0.742751,196,73,0,123,73,0,0,24,12
d0:73:d5:01:83:08,9,20566.9,0,0.744211,177,69,0,108,69,0,0,26,13
d0:73:d5:01:83:08,9,21255.5,0,0.744873,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,21447.2,0,0.745197,195,74,0,121,74,0,1,24,12
d0:73:d5:01:83:08,9,21077.6,0,0.744442,192,74,0,118,74,0,1,24,12
d0:73:d5:01:83:08,9,20440.9,0,0.744128,183,73,0,110,73,0,0,28,14
d0:73:d5:01:83:08,9,21255.5,0,0.742658,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,20720.4,0,0.744162,192,76,0,116,76,0,0,26,13
d0:73:d5:01:83:08,9,20587.2,0,0.743235,179,70,0,109,70,0,0,26,13
d0:73:d5:01:83:08,9,20783.4,0,0.745018,188,73,0,115,73,0,1,24,12
d0:73:d5:01:83:08,9,20652.2,0,0.744237,175,67,0,108,67,0,0,24,12
d0:73:d5:01:83:08,9,21057.6,0,0.744589,198,76,0,122,76,0,0,26,13
d0:73:d5:01:83:08,9,20812.6,0,0.743902,182,70,0,112,70,0,0,26,13
d0:73:d5:01:83:08,9,20980.3,0,0.74403,190,73,0,117,73,0,0,24,12
d0:73:d5:01:83:08,9,20587.2,0,0.74378,176,67,0,109,67,0,0,24,12
d0:73:d5:01:83:08,9,20790.2,0,0.746295,200,80,0,120,80,0,1,28,14
d0:73:d5:01:83:08,9,21027.4,0,0.749135,196,76,0,120,76,0,0,24,12
d0:73:d5:01:83:08,9,20879.3,0,0.743866,178,67,0,111,67,0,0,24,12
d0:73:d5:01:83:08,9,21228.1,0,0.745525,189,72,0,117,72,0,0,26,13
d0:73:d5:01:83:08,9,23904,1460,0.742086,287,109,0,178,109,0,0,32,11
d0:73:d5:01:83:08,9,22182.7,0,0.746587,207,78,0,129,78,0,1,22,11
d0:73:d5:01:83:08,9,21232,0,0.743691,213,84,0,129,84,0,0,26,13
d0:73:d5:01:83:08,9,21752.1,0,0.743073,185,67,0,118,67,0,0,24,12
d0:73:d5:01:83:08,9,20843.4,0,0.74552,176,67,0,109,67,0,0,24,12
d0:73:d5:01:83:08,9,20947.7,0,0.748585,199,79,0,120,79,0,0,26,13
d0:73:d5:01:83:08,9,21184.2,0,0.743655,183,69,0,114,69,0,0,26,13
d0:73:d5:01:83:08,9,21256.3,0,0.74563,193,74,0,119,74,0,1,24,12
d0:73:d5:01:83:08,9,21255.5,0,0.744564,180,67,0,113,67,0,0,24,12
d0:73:d5:01:83:08,9,20053.7,0,0.744087,174,70,0,104,70,0,0,26,13
d0:73:d5:01:83:08,9,20818.3,0,0.744505,193,76,0,117,76,0,0,26,13
d0:73:d5:01:83:08,9,20729,0,0.744582,183,71,0,112,71,0,1,26,13
d0:73:d5:01:83:08,9,20964.2,0,0.746731,189,73,0,116,73,0,0,24,12
