MAC_addr,label,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29,min_30,min_31,min_32,min_33,min_34,min_35,min_36,min_37,min_38,min_39,min_40,min_41,min_42,min_43,min_44,min_45,min_46,min_47,min_48,min_49,min_50,min_51,min_52,min_53,min_54,min_55,min_56,min_57,min_58,min_59
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac:bc:32:d4:6f:2f,24,0,0,600,281,1,0,452,191,123,202,116,95,209,137,92,114,97,106,97,167,121,105,103,114,112,104,94,108,93,178,108,105,124,136,100,90,119,250,139,102,131,100,266,112,330,100,86,107,145,108,111,172,92,90,101,131,86,188,118
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,3089,412,278,749,445,197,1793,490,537,433,1092,380,595,1525,3999,1552,4851,2116,309,4495,3463,12509,5114,4386,8204,343,271,294,71,80,134,97,146,194,67,119,135,325
ac:bc:32:d4:6f:2f,24,193,210,198,218,218,116,77,106,64,103,32,1,2176,769,1872,581,256,274,190,4410,3275,2820,2149,1290,305,262,207,227,295,466,6842,48755,54374,31561,2091,5938,7351,1146,6418,5217,3647,918,1404,373,1330,424,160,79,1308,235,265,208,183,278,495,393,433,1036,217
ac:bc:32:d4:6f:2f,24,3449,363,182,1071,3305,482,705,442,1918,336,85,30,178,188,2355,617,1711,288,232,184,1511,288,472,1432,380,375,284,280,378,234,207,255,220,634,304,166,506,2043,633,148,147,129,198,114,121,174,121,113,133,92,96,110,125,79,116,137,95,102,89
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,701,1,2666,801,142,380,5436,5077,3302,1452,1743,1362,1085,1531,1405,1366,2236,904,1389,1327,1415,1549,1477,1169,1376,1905,2135,1528,1319,2505,1740,1233,3292,1951,786,1499,1495,1341,1050,1794,1081,1778,2592,3020,357,313,3522,1658,345
ac:bc:32:d4:6f:2f,24,3878,3830,2018,199,221,12531,2367,2755,2261,2637,2500,190,1831,3413,3084,2524,670,8658,2078,12724,205,228,414,224,401,2831,721,666,445,484,369,268,1595,989,344,228,224,231,196,226,180,121,155,1995,120,120,130,121,117,132,120,236,169,124,122,98,95,105,113
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40:f3:08:ff:1e:da,24,0,0,0,0,0,0,0,0,69,71,60,14,0,5,6,24,4,1,25,7,0,7,37,0,3,2,4,67,20,94,6,27,13,11,40,117,45,68,23,50,22,29,14,28,16,42,4,32,1,3,1,31,4,3,101,13,18,10,6
40:f3:08:ff:1e:da,24,18,8,26,4,0,47,70,22,8,132,583,41,0,1,5,5,198,3,3,2,14,1,2,1,104,13,9,3,18,8,22,9,104,5,5,2,93,8,7,86,40,19,1,13,83,79,47,9,13,2,7,1,37,0,105,7,22,6,0
40:f3:08:ff:1e:da,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40:f3:08:ff:1e:da,24,0,0,262,8,0,0,8,3,8,2,0,19,1,1,0,2,16,9,0,62,3,38,1,4,0,2,7,4,1,2,0,31,49,29,2,21,17,5,0,21,2,32,3,7,0,0,8,10,6,59,13,29,7,5,2,0,14,2,1
40:f3:08:ff:1e:da,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,250,297,0,0,0,0,0,0,0,0,147,242,46,10,12,122,78,32,29,170,23,20
b4:ce:f6:a7:a3:c2,24,24,49,6,0,0,114,224,128,114,1,24,72,86,37,79,15,0,27,108,8,85,7,4,35,5,33,374,41,20,7,21,28,3,0,21,37,17,10,32,4,3,46,34,18,12,9,20,12,12,10,0,12,5,27,15,56,40,5,20
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,316,728,848,904,167,1060
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,762,357,42,48,81,76,21,33,23,24
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,293,144,28,71,7,0,0,25,70,35,47,117,14,61,9,8,11,4,7,66,46,45,2,10,14,7,13,20,11,14,2,78,0,17,8,9,88,44,4,13,28,7,25,9,29,40,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,298,78,37,16,54,42,14,3,0,31,5,11,18,63,42,59,64,26,6,1,5,351,84,30,3,17,2,18,12,8,26
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4:ce:f6:a7:a3:c2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:10:ee:4c,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:24:e4:1b:6f:96,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0:a6:37:df:a1:e1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0:a6:37:df:a1:e1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0:a6:37:df:a1:e1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,12,1,0,3,1,0,49,2
d0:a6:37:df:a1:e1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0:73:d5:01:83:08,9,11,11,2,2,2,5,2,3,2,3,5,9,9,3,2,5,2,2,5,4,5,2,12,6,3,6,2,3,2,3,5,3,2,13,4,6,2,2,3,4,5,3,2,3,16,5,2,2,2,4,5,2,3,2,2,19,2,2,3
d0:73:d5:01:83:08,9,5,2,2,2,2,6,11,7,2,3,5,2,2,3,3,5,2,12,5,3,5,2,2,2,2,5,2,3,13,5,5,2,2,2,2,7,2,3,2,16,6,2,2,2,2,5,2,2,3,2,18,2,2,2,2,5,2,3,3
d0:73:d5:01:83:08,9,5,8,10,2,2,5,2,2,2,3,6,3,11,8,2,5,2,2,2,4,6,3,2,12,6,6,2,2,2,4,9,2,2,3,15,6,2,6,2,4,6,2,3,2,2,18,2,2,3,3,10,2,3,3,3,6,16,3,3
d0:73:d5:01:83:08,9,7,3,3,2,3,7,2,9,9,3,6,2,2,2,2,6,2,2,13,5,6,2,3,3,2,5,2,2,2,16,5,2,2,2,2,6,2,2,3,2,19,2,3,3,3,5,3,2,4,2,6,15,9,2,2,5,2,3,3
d0:73:d5:01:83:08,9,5,3,8,9,2,5,2,3,2,4,6,3,3,11,7,5,3,2,3,3,5,2,2,2,13,8,3,3,2,3,6,2,2,2,2,16,6,2,3,3,5,2,2,3,2,5,15,3,2,3,5,2,2,3,3,5,2,15,3
d0:73:d5:01:83:08,9,8,2,2,2,2,6,2,3,8,10,5,2,2,2,2,5,2,2,2,12,11,2,2,2,2,9,2,2,2,3,15,6,3,3,2,5,2,2,3,3,5,15,2,2,2,5,3,2,4,2,5,2,16,2,2,6,2,2,3
d0:73:d5:01:83:08,9,9,3,2,8,9,6,2,2,3,3,5,3,2,3,10,10,3,2,3,5,5,2,2,2,2,16,5,3,2,3,5,3,2,2,2,5,16,2,3,3,5,2,2,2,2,6,2,16,3,3,6,3,2,2,2,9,2,2,16
d0:73:d5:01:83:08,9,5,3,2,2,2,6,2,3,2,11,10,2,3,3,2,6,2,2,2,4,16,5,3,2,2,5,2,2,2,3,5,13,5,2,3,6,2,2,2,4,10,2,12,5,2,6,2,2,3,5,5,2,3,13,4,5,2,2,2
d0:73:d5:01:83:08,9,6,3,2,2,11,10,3,2,2,3,6,3,2,2,2,18,6,3,2,3,5,3,2,2,2,5,13,4,2,4,6,2,2,2,2,6,3,15,2,3,5,3,2,2,2,6,2,3,15,3,5,3,2,2,2,6,2,5,2
d0:73:d5:01:83:08,9,12,2,2,2,2,5,2,2,2,3,14,7,2,3,3,5,2,2,2,3,5,13,5,2,2,5,2,3,2,3,6,2,13,5,2,5,3,2,2,4,6,3,2,15,2,5,3,2,3,3,5,3,2,2,16,5,2,2,4
d0:73:d5:01:83:08,9,5,2,3,2,13,10,2,2,2,3,5,2,4,2,2,13,8,3,2,3,7,2,3,2,3,8,13,4,3,3,8,3,3,2,2,5,15,2,2,3,6,3,2,2,2,5,2,15,3,3,5,2,2,2,2,5,2,2,16
d0:73:d5:01:83:08,9,5,2,2,2,2,5,3,2,2,13,8,2,2,3,2,5,2,2,3,3,16,4,2,2,2,6,2,4,2,3,5,15,3,2,2,6,2,2,3,2,5,2,16,2,3,5,2,2,4,2,5,2,3,15,3,6,2,2,3
d0:73:d5:01:83:08,9,5,3,3,3,10,10,2,2,2,4,5,3,3,3,3,16,6,3,2,3,5,3,2,2,3,6,13,5,2,3,5,2,2,2,2,6,4,15,3,3,5,2,3,2,2,5,3,3,16,3,6,2,2,3,2,5,2,2,4
d0:73:d5:01:83:08,9,13,2,3,2,2,6,2,2,2,3,14,8,2,3,2,5,2,2,3,4,5,10,8,2,2,6,3,2,3,3,6,3,13,6,3,6,2,3,3,3,9,2,3,13,6,5,2,4,2,4,6,3,3,3,12,10,2,3,3
d0:73:d5:01:83:08,9,6,3,2,2,2,12,9,3,3,4,5,3,2,3,2,5,11,8,3,3,5,2,2,3,3,5,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0:73:d5:01:83:08,9,5,2,3,2,2,18,3,3,2,3,6,2,2,2,3,5,15,2,2,4,6,2,2,3,2,5,2,16,2,4,6,2,3,3,2,5,2,3,15,3,5,2,3,2,2,5,3,2,3,16,5,2,2,2,2,5,2,2,5
